Rank,Player,Pos,Price(£m),FDR,Home,Fixtures,AvgMin(L5),AvailScore,RawPts,PredPts,Value,AvgPts(L5),Sel%
1,Hermansen,GK,4.2,4,1,1,72.0,0.9,7.12,6.41,1.526,4.4,0.3
2,Raya,GK,6.0,3,1,1,90.0,1.0,6.04,6.04,1.007,4.2,34.3
3,Petrović,GK,4.5,2,0,1,90.0,1.0,5.54,5.54,1.231,5.6,4.9
4,Pickford,GK,5.6,5,0,1,90.0,1.0,4.04,4.04,0.721,1.6,13.3
5,Kelleher,GK,4.7,2,1,1,72.0,0.9,4.23,3.81,0.811,3.0,12.0
6,Martinez,GK,5.1,4,0,1,90.0,1.0,2.76,2.76,0.541,4.0,4.5
7,José Sá,GK,4.2,4,0,1,90.0,1.0,2.73,2.73,0.65,5.0,1.3
8,Dúbravka,GK,4.0,3,1,1,90.0,1.0,2.51,2.51,0.628,1.0,32.2
9,Verbruggen,GK,4.5,4,0,1,90.0,1.0,2.46,2.46,0.547,3.6,5.4
10,Donnarumma,GK,5.6,2,0,1,90.0,1.0,2.25,2.25,0.402,4.4,9.6
1,Gabriel,DEF,7.2,3,1,1,90.0,1.0,10.32,10.32,1.433,5.6,43.3
2,J.Timber,DEF,6.3,3,1,1,83.2,1.0,10.25,10.25,1.627,4.8,28.1
3,Senesi,DEF,4.9,2,0,1,90.0,1.0,7.36,7.36,1.502,4.2,16.9
4,Truffert,DEF,4.6,2,0,1,90.0,1.0,6.87,6.87,1.493,5.0,2.3
5,Van den Berg,DEF,4.5,2,1,1,90.0,1.0,6.53,6.53,1.451,4.8,1.1
6,Hill,DEF,4.1,2,0,1,90.0,1.0,6.39,6.39,1.559,6.2,7.2
7,A.Jimenez,DEF,4.5,2,0,1,87.6,1.0,6.07,6.07,1.349,3.0,0.3
8,Ballard,DEF,4.6,3,1,1,90.0,1.0,5.75,5.75,1.25,4.4,3.6
9,Tarkowski,DEF,5.7,5,0,1,90.0,1.0,5.64,5.64,0.989,1.8,11.0
10,Hume,DEF,4.5,3,1,1,86.6,1.0,5.6,5.6,1.244,2.2,0.3
1,B.Fernandes,MID,10.0,3,1,1,90.0,1.0,9.15,9.15,0.915,7.4,40.1
2,Semenyo,MID,8.2,2,0,1,89.2,1.0,7.43,7.43,0.906,7.0,56.8
3,Summerville,MID,5.7,4,1,1,89.8,1.0,6.48,6.48,1.137,5.0,2.9
4,Palmer,MID,10.6,3,1,1,79.8,1.0,5.83,5.83,0.55,7.6,16.1
5,Anderson,MID,5.4,2,1,1,87.2,1.0,5.8,5.8,1.074,4.4,6.5
6,Cunha,MID,8.0,3,1,1,79.0,1.0,5.8,5.8,0.725,4.4,7.7
7,Mbeumo,MID,8.7,3,1,1,85.6,1.0,5.65,5.65,0.649,4.8,23.6
8,M.Salah,MID,14.0,3,1,1,85.8,1.0,5.55,5.55,0.396,3.6,14.4
9,Garner,MID,5.2,5,0,1,90.0,1.0,5.51,5.51,1.06,3.6,4.0
10,Casemiro,MID,5.6,3,1,1,86.0,1.0,5.33,5.33,0.952,5.4,2.5
1,João Pedro,FWD,7.6,3,1,1,75.6,1.0,14.49,14.49,1.907,7.4,46.4
2,Bowen,FWD,7.5,4,1,1,87.8,1.0,4.11,4.11,0.548,5.2,7.7
3,Thiago,FWD,7.2,2,1,1,90.0,1.0,4.0,4.0,0.556,3.4,34.5
4,Ekitiké,FWD,9.1,3,1,1,85.0,1.0,3.4,3.4,0.374,6.8,34.0
5,Igor Jesus,FWD,5.8,2,1,1,59.8,0.75,4.43,3.32,0.572,2.2,1.1
6,Evanilson,FWD,6.8,2,0,1,69.6,0.9,2.94,2.65,0.39,2.6,2.2
7,Mané,FWD,4.5,4,0,1,90.0,1.0,2.62,2.62,0.582,2.0,2.2
8,Tolu,FWD,5.4,4,0,1,73.8,0.9,2.89,2.6,0.481,2.6,0.2
9,Taty,FWD,5.5,4,1,1,80.2,1.0,2.33,2.33,0.424,3.8,0.1
10,Calvert-Lewin,FWD,5.7,3,0,1,70.8,0.9,2.52,2.27,0.398,2.6,9.2
