id,web_name,team
1,Raya,1
2,Arrizabalaga,1
3,Hein,1
4,Setford,1
5,Gabriel,1
6,Saliba,1
7,Calafiori,1
8,J.Timber,1
9,Kiwior,1
10,Lewis-Skelly,1
11,White,1
13,Clarke,1
14,Kacurri,1
15,Nichols,1
16,Saka,1
17,Ødegaard,1
18,Madueke,1
19,Martinelli,1
20,Trossard,1
21,Rice,1
22,Merino,1
23,Fábio Vieira,1
24,Nørgaard,1
25,Nwaneri,1
26,Zubimendi,1
28,Kabia,1
29,Sambi,1
30,Havertz,1
31,G.Jesus,1
266,Eze,1
662,Mosquera,1
666,Gyökeres,1
700,Dowman,1
711,Harriman-Annous,1
725,Hincapie,1
759,Salmon,1
32,Martinez,2
33,M.Bizot,2
34,Gauci,2
35,Marschall,2
36,Cash,2
37,Digne,2
38,Konsa,2
39,Maatsen,2
40,Mings,2
41,Pau,2
42,A.García,2
43,Alex Moreno,2
44,Bogarde,2
45,Sousa,2
46,Yasin,2
47,Rogers,2
48,Tielemans,2
49,Bailey,2
50,Buendía,2
51,Iling Jr,2
53,Malen,2
54,McGinn,2
55,Barkley,2
56,Barrenechea,2
57,Dobbin,2
58,Kamara,2
59,Onana,2
60,Broggio,2
61,Dendoncker,2
62,Jimoh-Aloba,2
63,Young,2
64,Watkins,2
65,Redmond,2
389,Elliott,2
456,Sancho,2
688,Wright,2
699,Douglas Luiz,2
701,Rowe,2
702,Burrowes,2
703,Proctor,2
710,Patterson,2
719,Lindelöf,2
754,George Hemmings,2
757,Hollingshead,2
768,Leon Routh,2
781,Carroll,2
792,Alysson,2
808,Abraham,2
183,Weiss,3
184,Green,3
185,Hladký,3
186,Roberts,3
187,Walker,3
188,Delcroix,3
189,Dodgson,3
190,Ekdal,3
191,Estève,3
192,Hartman,3
193,Humphreys,3
194,Jordan,3
195,Lucas Pires,3
196,Sambo,3
197,Sonne,3
198,Tuanzebe,3
199,Worrall,3
200,Anthony,3
201,Benson,3
202,Bruun Larsen,3
203,Boateng,3
204,Churlinov,3
205,Cullen,3
206,Edwards,3
207,Hannibal,3
208,Koleosho,3
209,Laurent,3
210,Tchaouna,3
211,A.Ramsey,3
212,Adewumi,3
213,Banel,3
214,Trésor,3
215,Flemming,3
216,Amdouni,3
217,Foster,3
218,Barnes,3
219,Obafemi,3
470,Dúbravka,3
614,Ward-Prowse,3
676,Ugochukwu,3
680,Broja,3
722,Florentino,3
776,Pimlott,3
784,Brierley,3
66,Neto,4
67,Petrović,4
68,Dennis,4
69,McKenna,4
70,Paulsen,4
71,Zabarnyi,4
72,Senesi,4
73,Smith,4
74,Truffert,4
75,Akinmboni,4
76,Bevan,4
77,Hill,4
78,J.Araujo,4
79,Mepham,4
80,Soler,4
81,Kluivert,4
84,Tavernier,4
85,Adams,4
86,Brooks,4
87,Christie,4
88,Cook,4
89,Philip,4
90,Scott,4
91,Sinisterra,4
92,Faivre,4
93,H.Traorè,4
94,Sadi,4
95,Silcott-Duberry,4
96,Winterburn,4
97,Evanilson,4
98,Enes Ünal,4
99,Adu-Adjei,4
100,Kroupi.Jr,4
391,Gannon-Doak,4
685,Diakité,4
687,Rees-Dottin,4
697,Adli,4
713,A.Jimenez,4
721,Milosavljević,4
756,DaCosta,4
782,Forster,4
799,Stevens,4
801,Tóth.A,4
806,Mandas,4
807,Rayan,4
27,Nelson,5
83,O.Dango,5
101,Kelleher,5
102,Balcombe,5
103,Cox,5
104,Eyestone,5
105,Valdimarsson,5
106,Collins,5
107,Lewis-Potter,5
108,Ajer,5
109,Henry,5
110,Kayode,5
111,Pinnock,5
112,Roerslev,5
113,Van den Berg,5
114,Arthur,5
115,Fredrick,5
116,Hickey,5
117,Ji-soo,5
118,Meghoma,5
120,Schade,5
121,Damsgaard,5
122,Milambo,5
123,Carvalho,5
124,Henderson,5
125,Janelt,5
126,Jensen,5
127,Nunes,5
128,Onyeka,5
129,Yarmoliuk,5
130,Donovan,5
131,Konak,5
132,Maghoma,5
133,Peart-Harris,5
134,Trevitt,5
136,Thiago,5
137,Morgan,5
748,Dasilva,5
797,Furo,5
810,Bentt,5
138,Steele,6
139,Verbruggen,6
140,McGill,6
141,Rushworth,6
142,Scherpen,6
143,Boscagli,6
144,Coppola,6
145,De Cuyper,6
146,Dunk,6
147,Estupiñan,6
148,F.Kadıoğlu,6
149,Igor,6
150,Lamptey,6
151,Van Hecke,6
152,Veltman,6
153,Webster,6
154,Cashin,6
155,Slater,6
156,Tasker,6
157,Mitoma,6
158,Georginio,6
159,March,6
160,Minteh,6
161,Enciso,6
162,Gruda,6
163,Hinshelwood,6
164,O'Riley,6
165,Sima,6
166,Ayari,6
167,Baleba,6
169,Gomez,6
170,Milner,6
171,Sarmiento,6
172,Watson,6
173,Wieffer,6
174,Yalcouye,6
175,Knight,6
176,Mazilu,6
177,Moran,6
178,Welbeck,6
179,Ferguson,6
180,Tzimas,6
181,Kostoulas,6
